Vendor name,Category,Subcategories,Funding accepted,Contact name,Email,Phone,Website,Location,Address
Sequoia Village School House,"Social Recreation, Socialization training, Education","Camp, Playgroup, Preschool, Grades K-2",ACE FMS,Sara Oletti,soletti@svschoolhouse.com,(415)-463-5472,svschoolhouse.com,"San Francisco, CA","1438 38th Ave San Francisco, Ca 94122"
Build Learn Thrive PC,Social Recreation,Camp,ACE FMS,Meilani Connolly,meilani@buildlearnthrive.com,(415)-702-0028,buildlearnthrive.com,"San Francisco, CA","309 Judah St. San Francisco, CA 94122"
Build Learn Thrive PC,Socialization training,Social skills group,ACE FMS,Meilani Connolly,meilani@buildlearnthrive.com,(415)-702-0028,buildlearnthrive.com,"San Francisco, CA","309 Judah St. San Francisco, CA 94122"
Build Learn Thrive PC,Therapy,"Occupational, Speech, Physical",ACE FMS,Meilani Connolly,meilani@buildlearnthrive.com,(415)-702-0028,buildlearnthrive.com,"San Francisco, CA","309 Judah St. San Francisco, CA 94122"
KFS school,"Social Recreation, Socialization training, Education","Camp, Social skills group, Grades K-5, Grades 6-8",ACE FMS,Vanessa Kahlon,vanessa.kahlon@kfsschool.org,(415)-525-4035,www.kfsschool.org,"San Francisco, CA","3140 Balboa St. San Francisco, CA 94121"
INTERCONNECT THERAPY,"Social Recreation, Socialization training","Camp, Social skills group",ACE FMS,Taylour Ganster,taylour@interconnect-therapy.org,(415)-226-9924,interconnect-therapy.com,"San Francisco, CA","1916 Lawton St. San Francisco, CA 94122"
The Music Room of San Francisco,Social Recreation,Music,ACE FMS,Jessica Meyers,jessica@musicroomsf.com,(415)-944-7666,www.musicroomsf.com,"San Francisco, CA","3801 Balboa St. San Francisco, CA 94121"
Exploring Music,Social Recreation,Music,ACE FMS,Exploring Music,SF@exploringmusicusa.com,(415)-831-2500,exploringmusicusa.com,"San Francisco, CA","814 Clement St. San Francisco, CA 94118"
Community Music Center SF,Social Recreation,Music,ACE FMS,Community Music Center SF,info@sfcmc.org,(415)-647-6015,sfcmc.org,Mission District,"544 Capp St, San Francisco, CA 94110"
Community Music Center SF,Social Recreation,Music,ACE FMS,Community Music Center SF,info@sfcmc.org,(415)-647-6015,sfcmc.org,Richmond District,"741 30th Ave, San Francisco, CA 94121"
Creative Vibes Music Therapy,Therapy,Music,ACE FMS,Mai Abe,maiabe@creativevibesmt.com,(408)-641-6013,creativevibesmt.com,San Francisco Bay Area,
Bay Area Music Therapy,Therapy,Music,ACE FMS,Ian Wilkerson,ian@bayareamusictherapy.com,(707)-595-0995,bayareamusictherapy.com,San Francisco Bay Area,
Bee You Music Therapy,Therapy,Music,ACE FMS,Erin Gaines,eringmtbc@beeyoumusictherapy.com,(415)-856-9546,beeyoumusictherapy.com,San Francisco Bay Area,
Cadence Music Therapy Services,Therapy,Music,ACE FMS,Yuriko Urushibata,yuriko@cadencemusictherapy.com,(916)-880-0115,cadencemusictherapy.com,"San Francisco, CA",
Napa School of Music,Social Recreation,Music,ACE FMS,Ralf Lindner,frontdesk@napaschoolofmusic.com,(707) 252-4040,napaschoolofmusic.com,"Napa, CA","702 Trancas St, Suite 200, Napa, CA 94558"
Color Me Mine - Daly City,Social Recreation,Art,ACE FMS,Mike ColorMeMine,Dalycity@colormemine.com,(650)-756-2706,www.dalycity.colormemine.com,"Daly City, CA","445 Colesville Rd. Daly City, CA 94015"
Spirited Play Labs,"Social Recreation, Socialization training","Open play, DIR Floortime","GGRC, SARC, RCEB, NBRC, ACE FMS",Mikaela De Los Santos,mikaela@spiritedplaylabs.com,(510)-645-1064,spiritedplaylabs.com,"San Ramon, CA","2220 Camino Ramon - San Ramon, CA 94583"
Spirited Play Labs,"Social Recreation, Socialization training","Open play, DIR Floortime","GGRC, SARC, RCEB, NBRC, ACE FMS",Mikaela De Los Santos,mikaela@spiritedplaylabs.com,(510)-645-1064,spiritedplaylabs.com,"Berkeley, CA","2930 Shattuck Ave #206, Berkeley, CA 94705"
Spirited Play Labs,"Social Recreation, Socialization training","Open play, DIR Floortime","GGRC, SARC, RCEB, NBRC, ACE FMS",Mikaela De Los Santos,mikaela@spiritedplaylabs.com,(510)-645-1064,spiritedplaylabs.com,"Belmont, CA","1300 5th Ave, Belmont, CA 94002"
Project Commotion,"Social Recreation, Education","Dance, Youth sports, Music, Open play, Preschool",ACE FMS,Susan PC,susan@projectcommotion.org,(415)-252-8059,projectcommotion.org,"San Francisco, CA","2095 Harrison Street, San Francisco, CA 94110"
Magic Cottage Preschool,Education,Preschool,ACE FMS,Jane Yurkevich,jyurkevich@gmail.com,(415)-347-5645,https://sites.google.com/view/magic-cottage-preschool,"San Francisco, CA","1427 11th Ave, San Francisco CA 94122"
STEMful,Social Recreation,"Camp, Afterschool, Open play, STEM",ACE FMS,Kim Nguyen-Ehrenreich,info@stemful-sf.com,(415)-660-5975,sf-stemful.com,"San Francisco, CA","30 29th St. San Francisco, CA 94110"
Pomeroy Recreation and Rehabilitation Center,"Social Recreation, Socialization training, Respite","Camp, Afterschool, Swim, Facility","GGRC, ACE FMS",Celina Lam,clam@prrcsf.org,(415)-213-8502,prrcsf.org,"San Francisco, CA","207 Skyline Blvd San Francisco, CA 94132"
San Francisco Rec & Park,Social Recreation,"Camp, Afterschool, Art, Sports, Dance, Swim, Yoga, Woodworking, Clay, STEM",ACE FMS,SF Parks & Recreation,sfreconline@sfgov.org,,sanfranciscoparksalliance.org,"San Francisco, CA","San Francisco, CA"
Cupertino Parks and Recreation,Social Recreation,"Camp, Afterschool, Art, Sports, Dance, Swim, Yoga, STEM",ACE FMS,Cupertino Parks & Rec,sonyal@cupertino.com,(408)-777-3121,https://www.cupertino.gov/Parks-Recreation,"Cupertino, CA","Cupertino, CA"
Dublin Parks and Community Services,Social Recreation,"Camp, Afterschool, Art, Sports, Dance, Swim, Yoga, STEM",ACE FMS,Sanjiv Bhatia,DublinArtsCenter@dublin.ca.gov,(925)-556-4500,dublin.ca.gov,"Dublin, CA","Dublin, CA"
City of Fremont Parks and Recreation,Social Recreation,"Camp, Afterschool, Art, Sports, Dance, Swim, Yoga, STEM",ACE FMS,Fremont Parks & Rec,regerec@fremont.gov,(510) 494-4300,fremont.gov,"Fremont, CA","Fremont, CA"
Livermore Area Recreation and Park Department,Social Recreation,"Camp, Afterschool, Art, Sports, Dance, Swim, Yoga, STEM",ACE FMS,Makenna Nation,mnation@larpd.org,(925)-373-5731,larpd.org,"Livermore, CA","Livermore, CA"
Berkeley Parks and Recreation,Social Recreation,"Camp, Afterschool, Art, Sports, Dance, Swim, Yoga, STEM",ACE FMS,Bonnie Mitchell,recreation@berkeleyca.gov,(510) 981-6690,https://berkeleyca.gov/community-recreation/parks-recreation,"Berkeley, CA","Berkeley, CA"
City of Novato Parks and Recreation,Social Recreation,"Camp, Afterschool, Art, Sports, Dance, Swim, Yoga, STEM",ACE FMS,Alexandra Kambur,akambur@novato.org,(415)-899-8279,https://www.novato.gov/government/parks-recreation-community-services,"Novato, CA","Novato, CA"
San Anselmo Recreation Department,Social Recreation,"Camp, Afterschool, Art, Sports, Dance, Swim, Yoga, STEM",ACE FMS,San Anselmo Parks & Rec,recreation@townofsananselmo.org,(415)-258-4640,www.townofsananselmo.org,"San Anselmo, CA","San Anselmo, CA"
City of San Leandro Parks & Rec,Social Recreation,"Camp, Afterschool, Art, Sports, Dance, Swim, Yoga, STEM",ACE FMS,San Leandro Parks & Rec,slrec@sanleandro.org,(510)-577-3462,https://anc.apm.activecommunities.com/sanleandrorec/home,"San Leandro, CA","San Leandro, CA"
Corte Madera Parks & Recreation,Social Recreation,"Camp, Afterschool, Art, Sports, Dance, Swim, Yoga, STEM",ACE FMS,Ali Mann,recreation_dept@cortemadera.gov,(415)-927-5072,cortemadera.gov/199/Parks-Recreation,"Corte Madera, CA","Corte Madera, CA"
City of San Mateo Parks and Recreation,Social Recreation,"Camp, Afterschool, Art, Sports, Dance, Swim, Yoga, STEM",ACE FMS,Michele Venneri,mvenneri@cityofsanmateo.org,(650) 522-7484,cityofsanmateo.org,"San Mateo, CA","San Mateo, CA"
SFUSD - Tule Elk Park Early Education School,Social Recreation,Afterschool,ACE FMS,Amanda Rice,ricea1@sfusd.edu,(415)-749-3551,sfusd.edu,Tule Elk Park Early Education School,"2110 Greenwich St, San Francisco, CA 94123"
SFUSD - Sutro Elementary,Social Recreation,Afterschool,ACE FMS,Annie Lee,leea11@sfusd.edu,(415)-750-8524,https://www.sfusd.edu/school/sutro-elementary-school,Sutro Elementary,"235 12th Ave, San Francisco, CA 94118"
Bay Area Community Resources (BACR),Social Recreation,"Camp, Afterschool",ACE FMS,Reginald Valenzuela,rvalenzuela@bacr.org,(415) 825-0104,bacr.org,San Francisco Bay Area,
"Logopedia Speech & Language Therapy, Inc.","Social Recreation, Socialization training, Therapy, Parent training","Camp, Playgroup, Speech, Feeding, AAC, Early intervention, DIR Floortime","GGRC, ACE FMS",Maribel Serrano Holder,maribel@logopediasf.com,(415)-226-7049,logopediasf.com,"San Francisco, CA","4156 24th St, San Francisco, CA 94114"
"Sensational Kidz Speech Therapy, Inc.",Therapy,"Speech, Feeding, AAC, Early intervention ",GGRC,Didem McCollum,dmccollum@senkidz.com,(415)-729-5157,www.senkidzsf.com,"San Francisco, CA","3100 Noriega St, San Francisco, CA 94122"
Sensational Kidz Pediatric Occupational Therapy,Therapy,"Occupational, Early intervention ","GGRC, ACE FMS",Kimberly Papageorge,kimberly@senkidzot.com,(703)-801-5672,www.senkidzot.com,"San Francisco, CA","3100 Noriega St, San Francisco, CA 94122"
SF Speech Therapy,Therapy,"Speech, Feeding, AAC, Early intervention ",GGRC,Teresa Newmark,info@sfspeechtherapy.com,(628) 303-8618,https://www.sfspeechtherapy.com,"San Francisco, CA","661 Chenery Street San Francisco, CA 94131"
"Little Hands Occupational Therapy, Inc","Therapy, Socialization training","Occupational, Speech, Group, Feeding, Behavior, Social skills group",ACE FMS,Gabrielle Perelmuter,billing@littlehandsot.com,(415)-758-2768,www.littlehandsot.com,"Corte Madera, CA","500 Tamal Plaza Suite 505 Corte Madera, CA 94925"
AllCheer,"Therapy, Education","Occupational, Speech, ABA, Physical, Early intervention, Tutoring",GGRC,,operations@allcheer.org,(415) 275-1838,www.allcheer.org,"San Francisco, CA",
Golden Hills Academy,"Education, Social Recreation","TK-8, Camp",ACE FMS,Shana Kenney,allchildrenacademics@gmail.com,(415)-595-1762,goldenhillsacademy.com,"Novato, CA","64 Digital Dr, Novato, CA 94949"
The Helix School,Education,"Elementary, Middle school, High School, Transition, Adult",ACE FMS,Stu Fisher,anthony@thehelixschool.org,(415)-569-5064,thehelixschool.org,"San Rafael, CA","161 Mitchell Blvd, San Rafael, CA 94903"
Joyscape Therapy,"Therapy, Socialization training","ABA, Social skills group",ACE FMS,Hanh Doan,admin@joyscapetherapy.com,(408)-320-5139,www.joyscapetherapy.com,San Francisco Bay Area,
Skilled Therapy & Play Services,"Therapy, Socialization training","Occupational, Speech, Group, Feeding, Behavior, AAC, Social skills group",ACE FMS,Erin DeNola,edenola@skilledtherapyplay.com,650) 200-6154,www.skilledtherapyplay.com,"San Carlos, CA","300 El Camino Real, San Carlos, CA 94070"
Skilled Therapy & Play Services,"Therapy, Socialization training","Occupational, Speech, Group, Feeding, Behavior, AAC, Social skills group",ACE FMS,Erin DeNola,edenola@skilledtherapyplay.com,650) 200-6154,www.skilledtherapyplay.com,"San Mateo, CA","151 W 20th Avenue, San Mateo, CA 94403"
Kalmanovitz Child Development Center,Therapy,"Occupational, Speech, Physical, Early intervention, Feeding",GGRC,,,(415) 600-6200,https://www.sutterhealth.org/giving/giving-opportunities/women-and-children-health/kalmanovitz-child-development-center,"San Francisco, CA","1625 Van Ness Ave 3rd Floor, San Francisco, CA 94109"
"Child's Play Therapy Services, PC",Therapy,"Occupational, Speech, Feeding",ACE FMS,Christina Gallo,christina@cptherapyservices.com,(925)-954-4546,www.cptherapyservices.com,"Lafayette, Ca","3687 Mount Diablo Blvd STE 100, Lafayette, CA 94549"
"Child's Play Therapy Services, PC",Therapy,"Occupational, Speech, Feeding",ACE FMS,Christina Gallo,christina@cptherapyservices.com,(925)-954-4546,www.cptherapyservices.com,"Pleasanton, CA","4637 Chabot Dr #106, Pleasanton, CA 94588"
Bay Play,Social Recreation,Open play,ACE FMS,Andrew Snow,bayplayoakland@gmail.com,(510)-740-9280,www.bayplayoakland.com,"Oakland, CA","3275 Ettie St Oakland, CA 94608"
House of Air,Social Recreation,Open play,ACE FMS,Dave Schaeffer,info@houseofair.com,,houseofair.com,"San Francisco, CA","926 Mason St, San Francisco, CA 94129"
Vision Parkour,Social Recreation,Parkour,ACE FMS,Jon Switkes,info@visionparkour.com,(650)-394-7338,visionparkour.com,"San Carlos, CA","1067 E San Carlos Ave, San Carlos, CA 94070"
Rockin' Jump - Concord,Social Recreation,Open play,ACE FMS,Rockin' Jump Trampoline Park,orders@rollerdigital.com,(925)-332-0285,rockinjump.com,"Concord, CA","1631 Challenge Dr, Concord, CA 94520"
Outschool,Education,Online classes,ACE FMS,Outschool Online Classes,billing@outschool.com,(415)-968-1685,outschool.com,Online,
Tree Frog Treks LLC,Social Recreation,Camp,ACE FMS,Emma Weir,Info@treefrogtreks.com,(415) 876-3764,treefrogtreks.com,Golden Gate Park,"425 John F Kennedy Dr, San Francisco CA"
Tree Frog Treks LLC,Social Recreation,Camp,ACE FMS,Emma Weir,Info@treefrogtreks.com,(415) 876-3764,treefrogtreks.com,McLaren Park,"1700 Bacon St, San Francisco, CA"
Tree Frog Treks LLC,Social Recreation,Camp,ACE FMS,Emma Weir,Info@treefrogtreks.com,(415) 876-3764,treefrogtreks.com,Christopher Playground,"5210 Diamond Heights Blvd, San Francisco, CA 94131"
Tree Frog Treks LLC,Social Recreation,Camp,ACE FMS,Emma Weir,Info@treefrogtreks.com,(415) 876-3764,treefrogtreks.com,Holly Park,"266-352 Holly Park Cir, San Francisco, CA 94110"
Tree Frog Treks LLC,Social Recreation,Camp,ACE FMS,Emma Weir,Info@treefrogtreks.com,(415) 876-3764,treefrogtreks.com,Francisco Park,"Russian Hill Park, Bay St &, Larkin St, San Francisco, CA 94109"
San Francisco Zoo Summer Camps,Social Recreation,Camp,ACE FMS,Alysia Caryl,zoocamp@sfzoo.org,(415)-213-8148,sfzoo.org,"San Francisco, CA","Sloat Blvd &, Upper Great Hwy, San Francisco, CA 94132"
Lavner Education,Social Recreation,Camp,ACE FMS,Michael Lavner,michael@lavnercamps.com,(610)-664-8800,lavnercamps.com,SFSU,"1600 Holloway Ave, San Francisco, CA 94132"
Lavner Education,Social Recreation,Camp,ACE FMS,Michael Lavner,michael@lavnercamps.com,(610)-664-8800,lavnercamps.com,Fusion Academy - San Francisco,"1160 Battery Street, San Francisco, CA 94111"
Lavner Education,Social Recreation,Camp,ACE FMS,Michael Lavner,michael@lavnercamps.com,(610)-664-8800,lavnercamps.com,Fusion Academy - San Mateo Foster City,"1840 Gateway Drive, San Mateo, CA 94404"
Lavner Education,Social Recreation,Camp,ACE FMS,Michael Lavner,michael@lavnercamps.com,(610)-664-8800,lavnercamps.com,Mountain View Academy,"360 S Shoreline Blvd, Mountain View, CA 94041"
Lavner Education,Social Recreation,Camp,ACE FMS,Michael Lavner,michael@lavnercamps.com,(610)-664-8800,lavnercamps.com,Palo Alto High School,"50 Embarcadero Road, Palo Alto, CA 94301"
Jewish Community Center of San Francisco,Social Recreation,Camp,ACE FMS,Edna Vaknin,support@jccsf.org,(415)-333-4289,jccsf.org,"San Francisco, CA","3200 California Street, San Francisco, CA 94118"
Jewish Community Center of San Francisco,Social Recreation,Camp,ACE FMS,Edna Vaknin,support@jccsf.org,(415)-333-4289,jccsf.org,Brotherhood Way Preschool,"655 Brotherhood Way, San Francisco, CA 94132"
Peninsula Jewish Community Center,Social Recreation,Camp,ACE FMS,PJCC,memberservices@pjcc.org,(650)-227-9324,pjcc.org,"Foster City, CA","800 Foster City Blvd, Foster City, CA 94404"
Steve & Kate's Camp,Social Recreation,Camp,ACE FMS,Anthony Lombard,valleyvillage@steveandkate.com,(323)-244-2556,steveandkate.com,"San Francisco, CA","San Francisco, CA"
Steve & Kate's Camp,Social Recreation,Camp,ACE FMS,Anthony Lombard,valleyvillage@steveandkate.com,(323)-244-2556,steveandkate.com,"Emeryville, CA","Emeryville, CA"
Steve & Kate's Camp,Social Recreation,Camp,ACE FMS,Anthony Lombard,valleyvillage@steveandkate.com,(323)-244-2556,steveandkate.com,"Fremont, CA","Fremont, CA"
Steve & Kate's Camp,Social Recreation,Camp,ACE FMS,Anthony Lombard,valleyvillage@steveandkate.com,(323)-244-2556,steveandkate.com,"Pleasanton, CA","Pleasanton, CA"
Steve & Kate's Camp,Social Recreation,Camp,ACE FMS,Anthony Lombard,valleyvillage@steveandkate.com,(323)-244-2556,steveandkate.com,"Walnut Creek, CA","Walnut Creek, CA"
Steve & Kate's Camp,Social Recreation,Camp,ACE FMS,Anthony Lombard,valleyvillage@steveandkate.com,(323)-244-2556,steveandkate.com,"Corte Madera, CA","Corte Madera, CA"
Steve & Kate's Camp,Social Recreation,Camp,ACE FMS,Anthony Lombard,valleyvillage@steveandkate.com,(323)-244-2556,steveandkate.com,"Santa Rosa, CA","Santa Rosa, CA"
Steve & Kate's Camp,Social Recreation,Camp,ACE FMS,Anthony Lombard,valleyvillage@steveandkate.com,(323)-244-2556,steveandkate.com,"Belmont, CA","Belmont, CA"
Steve & Kate's Camp,Social Recreation,Camp,ACE FMS,Anthony Lombard,valleyvillage@steveandkate.com,(323)-244-2556,steveandkate.com,"Palo Alto, CA","Palo Alto, CA"
Steve & Kate's Camp,Social Recreation,Camp,ACE FMS,Anthony Lombard,valleyvillage@steveandkate.com,(323)-244-2556,steveandkate.com,"San Mateo, CA","San Mateo, CA"
Steve & Kate's Camp,Social Recreation,Camp,ACE FMS,Anthony Lombard,valleyvillage@steveandkate.com,(323)-244-2556,steveandkate.com,"Cupertino, CA","Cupertino, CA"
Steve & Kate's Camp,Social Recreation,Camp,ACE FMS,Anthony Lombard,valleyvillage@steveandkate.com,(323)-244-2556,steveandkate.com,"San Jose, CA","San Jose, CA"
iD Tech Camps,Social Recreation,Camp,ACE FMS,Kimberly Frinell,info@idtech.com,(888)-709-8324,idtech.com,San Francisco State University,"1600 Holloway Ave, San Francisco, CA 94132"
iD Tech Camps,Social Recreation,Camp,ACE FMS,Kimberly Frinell,info@idtech.com,(888)-709-8324,idtech.com,Santa Clara University,"500 El Camino Real, Santa Clara, CA 95053"
iD Tech Camps,Social Recreation,Camp,ACE FMS,Kimberly Frinell,info@idtech.com,(888)-709-8324,idtech.com,Stanford University,"450 Jane Stanford Way, Stanford, CA 94305"
iD Tech Camps,Social Recreation,Camp,ACE FMS,Kimberly Frinell,info@idtech.com,(888)-709-8324,idtech.com,Palo Alto High School,"50 Embarcadero Rd, Palo Alto, CA 94301"
iD Tech Camps,Social Recreation,Camp,ACE FMS,Kimberly Frinell,info@idtech.com,(888)-709-8324,idtech.com,UC Berkeley,"2357 Haste St, Berkeley, CA 94720"
"Quest Therapeutic Camps, Inc. (Bay Area)",Social Recreation,"Camp, Afterschool","RCEB, ACE FMS",Alyson Cross,alysoncross@mac.com,(925)-743-2900,www.questcamps.com,"Alamo, CA","Alamo, CA"
"Quest Therapeutic Camps, Inc. (Bay Area)",Social Recreation,Afterschool,"RCEB, ACE FMS",Alyson Cross,alysoncross@mac.com,(925)-743-2900,www.questcamps.com,Oakland,"Oakland, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Alameda,"Alameda, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Berkeley,"Berkeley, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Burlingame,"Burlingame, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Cupertino,"Cupertino, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Fremont,"Fremont, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Lafayette,"Lafayette, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Los Altos,"Los Altos, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Marin,"Marin, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Menlo Park,"Menlo Park, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,North San Jose,"North San Jose, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Oakland (Glenview),"Glenview, Oakland, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Oakland (Rockridge),"Rockridge, Oakland, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Palo Alto,"Palo Alto, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Pleasanton,"Pleasanton, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,San Carlos/Belmont,"San Carlos, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,San Francisco (North),"Hayes Valley, San Francisco"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,San Francisco (Twin Peaks/Noe Valley),"Twin Peaks, San Francisco, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,San Jose (Almaden),"Almaden, San Jose, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,San Mateo,"San Mateo, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,San Ramon,"San Ramon, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Saratoga,"Saratoga, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Sunnyvale,"Sunnyvale, CA"
Galileo Camp,Social Recreation,Camp,ACE FMS,Galileo Camps,info@galileo-learning.com,800-854-3684,galileo-learning.com,Walnut Creek,"Walnut Creek, CA"
Oakland Zoo,Social Recreation,Camp,ACE FMS,Oakland Zoo Camp,Zoocamp@oaklandzoo.org,(510)-632-9525,oaklandzoo.org,"Oakland, CA","9777 Golf Links Rd, Oakland, CA 94605"
Bay Area Discovery Museum,Social Recreation,Camp,ACE FMS,Kelly McKinley,contact@badm.org,(415)-339-3900,badm.org,"Sausalito, CA","Art Studios, 557 McReynolds Rd, Sausalito, CA 94965"
"Junior Museum & Zoo, Palo Alto",Social Recreation,Camp,ACE FMS,John Aikin,funscience@CityofPaloAlto.org,(650)-329-2111,paloaltozoo.org,"Palo Alto, CA","1451 Middlefield Rd, Palo Alto, CA 94301"
Hiller Aviation Museum,Social Recreation,Camp,ACE FMS,Lanie Hiller,lanie@hiller.org,(650) 654-0200,hiller.org,"San Carlos, CA","601 Skyway Rd, San Carlos, CA 94070"
Cartoon Art Museum,Social Recreation,Art,ACE FMS,Cartoon Art Museum,office@cartoonart.org,(415)-022-7866,www.cartoonart.org/,"San Francisco, CA","781 Beach St, San Francisco, CA 94109"
The Walt Disney Family Museum,Social Recreation,"Camp, Art",ACE FMS,Walt Disney Family Museum,membership@wdfmuseum.org,(415)-345-6800,wdfmuseum.org,"San Francisco, CA","104 Montgomery St, San Francisco, CA 94129"
Camp Via West,Social Recreation,Camp,ACE FMS,Alyssa Pecorino,apecorino@campviawest.org,(650)-333-0899,https://campviawest.org,"Cupertino, CA","Cupertino, CA"
Camp Doodles,Social Recreation,Camp,ACE FMS,Brian Yu,brian@campdoodles.com,(415)-388-4386,campdoodles.com,"San Francisco, CA","San Francisco, CA"
Camp Doodles,Social Recreation,Camp,ACE FMS,Brian Yu,brian@campdoodles.com,(415)-388-4386,campdoodles.com,"Oakland, CA","Oakland, CA"
Camp Doodles,Social Recreation,Camp,ACE FMS,Brian Yu,brian@campdoodles.com,(415)-388-4386,campdoodles.com,"Orinda, CA","Orinda, CA"
De Colores Arts,Social Recreation,Art,"GGRC, NBRC, ACE FMS",Shana Murray,smurray@decoloresarts.org,(415)-578-0410,decoloresarts.org,Online,
Game U,"Social Recreation, Technology, Communication, Training","Art, STEM, Gaming","ALTA, GGRC, SARC, RCEB, ACE FMS",Calvin Lyles,cabilling@gameucorp.com,(908) 628-1379,game-u.com,Online,
"Sunpoint Home, LLC",Residential Facility,,GGRC,,hello@sunpointhome.com,650-245-8850,,"San Mateo, CA","617 Rand St., San Mateo, CA, 94401"
AIMS,"Independent Living Skills, Supported Living Services",,"RCEB, GGRC, ACE FMS",Arek Nathanson,arek@aimsforthefuture.com,(510)-856-7833,www.aimsforthefuture.com,San Francisco Bay Area,
Bridge to Life,Therapy,"Speech, Feeding, AAC, Physical",GGRC,,,(650) 696-7295,https://www.bridgeschool.org/bridge-to-life/,San Francisco Bay Area,
The Bridge School,Education,Extensive needs,GGRC,,,(650) 696-7295,https://www.bridgeschool.org/bridge-to-life/,"Hillsborough, CA","545 Eucalyptus Avenue Hillsborough, CA 94010-6404"
Peninsula Associates Speech Therapy Services,Therapy,"Speech, Feeding, AAC, Early intervention",GGRC,,,650-844-0866,https://paspeech.com,Menlo Park,"1220 University Drive, Suite 202 Menlo Park, CA 94025"
Peninsula Associates Speech Therapy Services,Therapy,"Speech, Feeding, AAC, Early intervention",GGRC,,,650-844-0866,https://paspeech.com,San Jose,"100 O’Connor Dr #21 San Jose, CA 95128"
Open Mind School,"Education, Social Recreation","K-12, Camp, Afterschool, Fitness, Ninja warrior",ACE FMS,Open Mind Center,info@openmindschool.org,(650)-260-3805,https://www.openmindschool.org,"Menlo Park, CA","1215 O'Brien Dr, Menlo Park, CA 94025"
The Riekes Center,Social Recreation,"Camp, Art, Fitness, Yoga",ACE FMS,Riekes Center Accounting Dept.,administration@riekes.org,(650)-364-2509,riekes.org,"Menlo Park, CA","3455 Edison Way, Menlo Park, CA 94025"
Tutor Me Education,Education,Tutoring,ACE FMS,Elliot Farahnik,Elliot@tutormeeducation.com,(818) 308-1297,tutormeeducation.com,San Francisco Bay Area,
Tutor Me Education,Education,Tutoring,ACE FMS,Elliot Farahnik,Elliot@tutormeeducation.com,(818) 308-1297,tutormeeducation.com,Online,
Social Thinking Center - Stevens Creek,Socialization training,Social skills group,ACE FMS,May Chen,mchen@socialthinkingsc.com,(408)-244-2005,socialthinkingsanjose.com,"San Jose, CA","3550 Stevens Creek Blvd STE 200, San Jose, CA 95117"
Wushu Central Martial Arts Academy,Social Recreation,Martial arts,ACE FMS,David Chang,sifu@kungfu.kids,(408)-314-5011,kungfu.kids/san-jose,San Jose,"879 Coleman Ave. Suite 40, San Jose, CA 95110"
